Data comes from State of Indiana Survey (State Survey) and EPA's Safe Drinking Water Information System (SDWIS).,,,,,,,,,,
Water System,Responded to State Survey?,# with Lead Service Line,% with Lead Service Line,Data Source,Full Address,Latitude,Longitude,SDWIS Total # of Service Connections,SDWIS LCR 90th Percentile Sample (ppm),SDWIS PWS ID
Pleasantview Utilities Inc,No,No response,Unknown,Unknown,"3812 West Galaxy Drive, Connersville, IN 47331",39.631464,-85.201367,195,Unknown,IN5221004
Pleasantville Water Company,No,No response,Unknown,Unknown,"1255 South County Road 600 East, Sullivan, IN 47882",39.064649,-87.296558,315,Unknown,IN5277007
Plymouth Water Department,Yes,1,0.03%,Estimated,"900 Ledyard Street, Plymouth, IN 46563",41.334972,-86.294906,3741,0.0046,IN5250010
Portland Municipal Water Plant,Yes,800,28.57%,Estimated,"321 North Meridian Street, Portland, IN 47371-1992",40.435941,-84.97765,2800,0.001,IN5238007
Posey Township Water Corp,Yes,No response,Unknown,Unknown,"136 East US Highway 150, Hardinsburg, IN 47125-0065",38.460434,-86.277914,1225,0.0012,IN5288006
Poseyville Municipal Water Department,Yes,11,1.96%,Estimated,"P.O. Box 194 38 West Main Street, Poseyville, IN 47633",38.169564,-87.784559,560,Unknown,IN5265008
Pretty View Condominium Owners Association,No,No response,Unknown,Unknown,"1409 Chester Street, South Bend, IN 46615",41.667126,-86.227462,30,Unknown,IN5250014
Princes Lake Water Department,Yes,0,0%,Unknown,"P.O. Box 218, Nineveh, IN 46164",39.362272,-86.084714,1679,0.015,IN5241007
Princeton Water Department,Yes,No response,Unknown,Estimated,"P.O. Box 15, Princeton, IN 47670",38.354997,-87.566601,4350,0.001,IN5226008
Prossers Country Estates,No,No response,Unknown,Unknown,"5394 South State Road 15, Wabash, IN 46992",40.739989,-85.75309,54,Unknown,IN5285012
Purdue Univ Water Works,Yes,No response,Unknown,Unknown,"403 Sheetz Street, West Lafayette, IN 47907-2075",40.417847,-86.912412,260,0.0014,IN5279015
Putnamville Correctional Facility,Yes,No response,Unknown,Unknown,"1946 US-40, Greencastle, IN 46135",39.567103,-86.886867,38,Unknown,IN5267005
Queen Road Mobile Home Park,Yes,No response,Unknown,Unknown,"6515 Filbert Road, Bremen, IN 46506",41.382601,-86.16605,16,Unknown,IN5250015
Ramsey Water Company Inc,No,No response,Unknown,Unknown,"P.O. Box 245, Ramsey, IN 47166",38.306758,-86.165002,5384,Unknown,IN5231005
Redkey Water Plant,Yes,25,4.52%,Estimated,"295 West North Street P.O. Box 443, Pennville, IN 47369",40.49367,-85.150912,553,0.0173,IN5238008
Reelsville Water Company,No,No response,Unknown,Unknown,"P.O. Box 57, Reelsville, IN 46171-0057",39.557544,-86.966957,920,Unknown,IN5267006
Regency Mobile Home Park - Real Life Real Estate LLC,No,No response,Unknown,Unknown,"121 Gregory Drive, Pendleton, IN 46064",40.002991,-85.71193,51,Unknown,IN5248021
Regency Pointe Estates Mobile Home Park,Yes,0,0%,Estimated,"8280 US-30, Pierceton, IN 46562",41.198348,-85.686496,131,0.021,IN5243011
Remington Water Works,Yes,40,6.16%,Recorded,"P.O. Box 70, Remington, IN 47977",40.760873,-87.150852,649,Unknown,IN5237004
Renaissance Health Care LLC,Yes,0,0%,Unknown,"6050 South 800 East -92, Fort Wayne, IN 46814",41.077032,-85.337859,1,Unknown,IN5202033
Rensselaer Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 280, Rensselaer, IN 47978",40.934584,-87.150309,2684,0.0176,IN5237005
Reo Water Corporation,Yes,No response,Unknown,Unknown,"3067 West State Road 66, Rockport, IN 47635",37.901233,-87.110968,1581,0.02,IN5274009
Reynolds Water Works,No,No response,Unknown,Unknown,"P.O. Box 214, Reynolds, IN 47980",40.749483,-86.871681,264,Unknown,IN5291013
Rhoades Wheel In Mobile Home Park,No,No response,Unknown,Unknown,"4665 W 100S, Wabash IN 46992",40.80888,-85.883076,32,Unknown,IN5285011
Rhs Water Corporation,Yes,0,0%,Estimated,"2765 Plateau Place, Bloomington, IN 47401",39.115569,-86.501273,340,Unknown,IN5253015
Richmond Mobile Home Park,No,No response,Unknown,Unknown,"3398 North Salisbury Road Lot 11, Richmond, IN 47374",39.87556,-84.94023,65,Unknown,IN5289004
Ridgeville Water Department,No,No response,Unknown,Unknown,"P.O. Box 43, Ridgeville, IN 47380",40.289211,-85.028857,360,Unknown,IN5268008
Riley Resort Land Trust,No,No response,Unknown,Unknown,"P.O. Box 321, Pierceton, IN 46562",41.200323,-85.705542,29,Unknown,IN5243063
Rising Sun Utilities,Yes,95,8.51%,Estimated,"200 North Walnut Street, Rising Sun, IN 47040",38.950197,-84.852456,1116,Unknown,IN5258002
River Bend Manor Mobile Home Park,No,No response,Unknown,Unknown,"P.O. Box 193, Lowell, IN 46356",41.291737,-87.426352,19,Unknown,IN5256011
Riverside Community,No,No response,Unknown,Unknown,"7963 North Del County Road, Albany, IN 47320",40.274773,-85.214606,25,Unknown,IN5268012
Roachdale Water Works,No,No response,Unknown,Unknown,"P.O. Box 198, Roachdale, IN 46172",39.848934,-86.80223,400,Unknown,IN5267007
Roads End Mobile Home Park,Yes,No response,Unknown,Unknown,"2467 South 550 East, Peru, IN 46970",40.729376,-85.972653,25,Unknown,IN5252024
Roann Water Works,Yes,30,15.46%,Estimated,"P.O. Box 276, Roann, IN 46974-0276",40.912074,-85.924728,194,Unknown,IN5285013
Roanoke Water Works,No,No response,Unknown,Unknown,"P.O. Box 328, Roanoke, IN 46783",40.962547,-85.373308,823,Unknown,IN5235009
Robin Hood Homes,Yes,No response,Unknown,Unknown,"337 Grace Village Drive, Winona Lake, IN 46590",41.222144,-85.800696,50,Unknown,IN5243043
Rochester Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 110, Rochester, IN 46975-0110",41.064765,-86.215833,3661,0.0047,IN5225006
Rockport Water,Yes,242,13.44%,Estimated,"P.O. Box 151, Rockport, IN 47635",37.883106,-87.049441,1800,Unknown,IN5274007
Rockville Light & Water,No,No response,Unknown,Unknown,"103 West High Street P.O. Box 0143, Rockville, IN 47872",39.761195,-87.227936,1500,Unknown,IN5261006
Rockwell Shores Apartments,Yes,0,0%,Recorded,"14325 Lauerman St, Cedar Lake, IN 46303",41.358168,-87.439241,17,0.019,IN5245002
Rocky Acres Mobile Home Park,Yes,0,0%,Recorded,"6491 Cox Road Lot 18, Terre Haute, IN 47802",39.385267,-87.482217,28,Unknown,IN5284027
Rolling Prairie Mobile Home Park,No,No response,Unknown,Unknown,"3977 North 500 East, Rolling Prairie, IN 46371",41.665655,-86.602374,50,Unknown,IN5246023
Rome City Housing Auth - Warrener Court,No,No response,Unknown,Unknown,"P.O. Box 415, Rome City, IN 46784",41.496161,-85.376645,1,Unknown,IN5257024
Rosedale Water Works,No,No response,Unknown,Unknown,"P.O. Box 183, Rosedale, IN 47874",39.622817,-87.28335,369,Unknown,IN5261007
Rosewood Manor Residential Center,No,No response,Unknown,Unknown,"5200 S. Burlington Dr, Muncie, IN 47302",40.146631,-85.333369,1,Unknown,IN5218021
Rossville Water Works,Yes,0,0%,Estimated,"17 West Main Street P.O. Box 550, Rossville, IN 46065-0550",40.416798,-86.595246,680,Unknown,IN5212007
Royal Center Water Utility,Yes,400,94.34%,Estimated,"104 North Street P.O. Box 220, Royal Center, IN 46978-0220",40.864877,-86.4988,424,Unknown,IN5209008
Royal Oaks Estates,Yes,No response,Unknown,Unknown,"955 West 275 South, Lafayette, IN 47909",40.37742,-86.922166,47,Unknown,IN5279016
Royal Oaks Homeowners Assn Inc,No,No response,Unknown,Unknown,"227 North Main Street, Monticello, IN 47960",40.74704,-86.761334,52,Unknown,IN5291019
Rural Membership Water Corp Of Clark Co,Yes,0,0%,Unknown,"P. O. Box 239, Henryville, IN 47126",38.541728,-85.767744,3100,0.0021,IN5210009
Rushville City Utility,No,No response,Unknown,Unknown,"P.O. Box 39, Rushville, IN 46173",39.609532,-85.447468,2753,Unknown,IN5270005
Russellville Water Works,No,No response,Unknown,Unknown,"211 South Harrison Street P.O. Box 173, Russellville, IN 46175",39.857774,-86.983538,160,Unknown,IN5267008
Rykers Ridge Water Company,Yes,0,0%,Unknown,"P. O. Box 1027, Madison, IN 47250",38.735893,-85.379958,796,Unknown,IN5239007
Sacred Heart Apostolic School,No,No response,Unknown,Unknown,"P.O. Box 7, Rolling Prairie, IN 46371",41.69062,-86.600625,1,Unknown,IN5246006
Salamonie Country Estates,No,No response,Unknown,Unknown,"1421 South 700 East, Marion, IN 46953",40.532254,-85.540295,66,Unknown,IN5285014
Salem Water Works,No,No response,Unknown,Unknown,"201 East Market Street, Salem, IN 47167",38.605455,-86.099223,3364,Unknown,IN5288005
Salt Creek Services Inc,Yes,0,0%,Recorded,"7847 South State Road 37, Bloomington, IN 47403",39.052713,-86.538727,45,Unknown,IN5253006
Sandborn Water Department,No,No response,Unknown,Unknown,"P.O. Box 135, Sandborn, IN 47578",38.896435,-87.186679,285,Unknown,IN5242011
Sandcastle Apartments,Yes,0,0%,Recorded,Unknown Address,37.09024,-95.712891,Unknown,Unknown,IN5243037
Santa Claus Water Utility,Yes,0,0%,Estimated,"P.O. Box 92, Santa Claus, IN 47579",38.112712,-86.917333,1717,0.0026,IN5274010
Schererville Water Department,Yes,No response,Unknown,Unknown,"10 East Joliet Street, Schererville, IN 46375",41.492423,-87.451031,13187,0.005,IN5245041
Schneider Water Department,No,No response,Unknown,Unknown,"P.O. Box 207, Schneider, IN 46376-0207",41.183391,-87.448512,123,Unknown,IN5245042
Scottsburg Water Department,Yes,No response,Unknown,Unknown,"2 East McClain Avenue, Scottsburg, IN 47170",38.686032,-85.770229,3096,0.0025,IN5272001
Seelyville Water Works,Yes,240,9.60%,Estimated,"P.O. Box 249, Seelyville, IN 47878",39.4921,-87.2651,2500,0.002,IN5284011
Sellersburg Water Department,No,No response,Unknown,Unknown,"P.O. Box 175, Sellersburg, IN 47172",38.398122,-85.754964,4966,Unknown,IN5210010
Shadeland Mobile Home Park,Yes,0,0%,Estimated,"2351 State Road 25 West, Lafayette, IN 47909",40.371777,-86.949212,76,Unknown,IN5279017
Shady Side Water Corporation,No,No response,Unknown,Unknown,"6537 North Britton Road, Solsberry, IN 47459",39.118069,-86.759593,44,Unknown,IN5253014
Share Foundation,No,No response,Unknown,Unknown,"8794 North 500 East, Rolling Prairie, IN 46371",41.733079,-86.606073,13,Unknown,IN5246011
Sharpsville Water Utility,No,No response,Unknown,Unknown,"P.O. Box 63, Sharpsville, IN 46068",40.378381,-86.086244,324,Unknown,IN5280003
Shelburn Water Utilities,Yes,0,0%,Estimated,"15 North Railroad Street, Shelburn, IN 47879",39.17826,-87.393248,1024,Unknown,IN5277008
Shelbys Landing,No,No response,Unknown,Unknown,"753 Shelbys Crest, Shelbyville, IN 46176",39.51353,-85.752853,23,Unknown,IN5273008
Sheridan Water Works,Yes,No response,Unknown,Unknown,"506 South Main Street, Sheridan, IN 46069",40.134116,-86.220776,1256,Unknown,IN5229014
Shipshewana Water Works,Yes,0,0%,Estimated,"P.O. Box 486, Shipshewana, IN 46565",41.672828,-85.580263,456,Unknown,IN5244006
Shirley Municipal Water,Yes,No response,Unknown,Unknown,"P.O. Box 90, Shirley, IN 47384",39.891959,-85.576327,400,Unknown,IN5233013
Shoals Water Company,No,No response,Unknown,Unknown,"P.O. Box 1078, Shoals, IN 47581-1078",38.650801,-86.781852,480,Unknown,IN5251007
Silver Creek Water Corporation,Yes,0,0%,Unknown,"8104 County Line Road, Sellersburg, IN 47172",38.371011,-85.777357,7221,0.03,IN5210011
Silver Lake Mobile Home Park - East,No,No response,Unknown,Unknown,"4305 US-20, Angola, IN 46703",41.634788,-85.073345,250,Unknown,IN5276018
Silver Lake Water Works,Yes,48,8.92%,Estimated,"P.O. Box 159, Silver Lake, IN 46982",41.072266,-85.891657,538,Unknown,IN5243021
Sisters Of Holy Cross-St Marys College,No,No response,Unknown,Unknown,"100 Lourdes Hall-St. Mary's, Notre Dame, IN 46556-5014",41.707304,-86.256745,33,Unknown,IN5271025
Sisters Of Providence/St Mary Of Woods,Yes,0,0%,Unknown,"1 Sisters of Providence, St. Mary Of The Woods, IN 47876",39.510464,-87.460613,48,Unknown,IN5284020
Sisters-St Francis Perpetual Adoration,Yes,0,0%,Unknown,"1515 West Dragoon Trail, Mishawaka, IN 46544",41.643629,-86.198541,8,Unknown,IN5271026
Skyview Mobile Home Park,No,No response,Unknown,Unknown,"64720 C.R. 21, Goshen IN 46526",41.555469,-85.847042,40,Unknown,IN5220021
South 43 Water Association Inc,No,No response,Unknown,Unknown,"4094 South US Highway 231, Greencastle, IN 46135",39.601095,-86.833283,549,Unknown,IN5267009
South Bend Water Works,Yes,24000,57.51%,Estimated,"830 North Michigan Street, South Bend, IN 46601",41.686049,-86.250553,41729,0.003,IN5271014
South Harrison Water Corporation,Yes,0,0%,Estimated,"P.O. Box 548, Corydon, IN 47112",38.212012,-86.121915,3249,0.0046,IN5231006
South Lawrence Utilities,Yes,0,0%,Unknown,"244 Carpenter Drive, Mitchell, IN 47446",38.788524,-86.502043,2470,0.0046,IN5247007
South Richland Conservancy District,No,No response,Unknown,Unknown,"5719 4th Road, Bremen, IN 46506",41.418387,-86.17003,34,Unknown,IN5225004
South Whitley Municipal Water,Yes,No response,Unknown,Estimated,"P.O. Box 372, South Whitley, IN 46787",41.084768,-85.628038,750,Unknown,IN5292007
Southern Madison Utilities LLC,Yes,0,0%,Estimated,"5309 South State Road 13, Lapel, IN 46051 ",40.026915,-85.844063,27,Unknown,IN5248026
Southern Madison Utilities/North Madison,Yes,No response,Unknown,Unknown,"5307 South State Road 13, Lapel, IN 46051 ",40.028995,-85.843307,4,Unknown,IN5248027
Southern Monroe Water Authority,Yes,0,0%,Unknown,"9654 South Harrodsburg Road, Harrodsburg, IN 47434-0068",39.003125,-86.547441,3376,0.0063,IN5253007
Southwest Civic Shareholders Association,No,No response,Unknown,Unknown,"3371 West 200 South, Russiaville, IN 46979",40.446284,-86.191281,29,Unknown,IN5234010
Southwestern Bartholomew Water Corp,Yes,No response,Unknown,Unknown,"4735 West Carlos Folger Drive, Columbus, IN 47201",39.200675,-85.975591,3071,0.005,IN5203008
Speedway Water Works,Yes,1266,29.59%,Estimated and Recorded,"1450 North Lynhurst Drive, Speedway, IN 46224",39.785857,-86.25107,4278,0.0034,IN5249008
Spiceland Municipal Water Utility,Yes,No response,Unknown,Unknown,"130 East Main Street P.O. Box 386, Spiceland, IN 47385",39.838606,-85.437759,450,Unknown,IN5233016
Springhill Mobile Home Court,No,No response,Unknown,Unknown,"1822 West Springville Road, Laporte, IN 46350",41.682535,-86.73539,53,Unknown,IN5246026
Springs Valley Regional Water District,Yes,No response,Unknown,Unknown,"P.O. Box 368, West Baden Springs, IN 47469",38.565332,-86.611103,1275,0.0043,IN5259002
Spurgeon Water Works,No,No response,Unknown,Unknown,"P.O. Box 676, Spurgeon, IN 47584",38.249079,-87.258102,189,Unknown,IN5263004
St Anthony Water Utility,Yes,0,0%,Recorded,"P.O. Box 154, St. Anthony, IN 47575-0154",38.314499,-86.82666,681,Unknown,IN5219010
St Bernice Water Corp,No,No response,Unknown,Unknown,"P.O. Box 242, St. Bernice, IN 47842",39.709203,-87.521409,345,Unknown,IN5283010
St Henry Water Corporation,No,No response,Unknown,Unknown,"1266 West 1100 South, Ferdinand, IN 47532",38.217463,-86.927715,1231,Unknown,IN5219011
St Joe Water Department,Yes,No response,Unknown,Unknown,"102 Third Street, St. Joe, IN 46785",41.31589,-84.901773,175,Unknown,IN5217006
St John Municipal Water Utility,No,No response,Unknown,Unknown,"9350 Hack Street, St. John, IN 46373",41.448648,-87.46489,6290,Unknown,IN5245043
St Jude Village Water Corporation,Yes,0,0%,Recorded,"1787 West Danny Drive, Connersville, IN 47331",39.685596,-85.172449,18,Unknown,IN5221007
St Meinrad Utilities Inc,Yes,0,0%,Unknown,"11477 East State Road 62, St. Meinrad, IN 47577",38.172052,-86.839296,220,Unknown,IN5274013
St Paul Municipal Water,Yes,No response,Unknown,Unknown,"P.O. Box 448, St. Paul, IN 47272-0448",39.428105,-85.628309,396,Unknown,IN5216004
Starlite Trailer Park,No,No response,Unknown,Unknown,"785 North 125 West, Valparaiso, IN 46385",41.548955,-87.090236,14,Unknown,IN5264028
Staunton Municipal Water,No,No response,Unknown,Unknown,"P.O. Box 98, Staunton, IN 47881-0098",39.487609,-87.186687,325,Unknown,IN5211007
Sti-Bel Mobile Home Park,No,No response,Unknown,Unknown,"5855 Santa Fe Lane, Spencer, IN 47460",39.374863,-86.804,18,Unknown,IN5232028
Stoney Creek Estates LLC,Yes,0,0%,Estimated,"11511 N 300 West, Zanesville IN 46799",40.911612,-85.280702,36,Unknown,IN5290003
Stucker Fork Water Utility,Yes,0,0%,Unknown,"P.O. Box 274, Scottsburg, IN 47170",38.685934,-85.773132,7549,0.0021,IN5272002
Suburban Acres Mobile Home Park North Well,Yes,0,0%,Estimated,"3699 North 175 East, Warsaw, IN 46582",41.288775,-85.812178,92,Unknown,IN5243024
Suburban Acres Mobile Home Park South Well,Yes,0,0%,Estimated,"3697 North 175 East, Warsaw, IN 46582",41.288744,-85.812196,85,Unknown,IN5243041
Suburban Estates,Yes,0,0%,Unknown,"3288 Cicero Road Lot 23, Noblesville, IN 46062",40.09217,-86.011765,141,Unknown,IN5229020
Sugar Creek Utilities-Riley Village,No,No response,Unknown,Unknown,"2243 East Main Street, Greenfield, IN 46140",39.785838,-85.73197,180,Unknown,IN5230006
Sullivan-Vigo Rural Water Corp,No,No response,Unknown,Unknown,"P.O. Box 52, Pimento, IN 47866",39.279777,-87.331426,865,Unknown,IN5284021
Sunflower Valley Water Co Inc,No,No response,Unknown,Unknown,"319 Saint Joe Road East, Sellersburg, IN 47172",38.41323,-85.762202,37,Unknown,IN5210012
Sunman Water Works,Yes,0,0%,Estimated,"P.O. Box 147, Sunman, IN 47041",39.236997,-85.094681,405,Unknown,IN5269005
Sunnymede Community Association Water,No,No response,Unknown,Unknown,"2021 Medford Drive, Fort Wayne, IN 46803",41.067149,-85.067138,212,Unknown,IN5202018
Sunset Harbor Condominiums,No,No response,Unknown,Unknown,"10005 N Turkey Creek Rd, Syracuse, IN 46567",41.379011,-85.669256,11,Unknown,IN5245028
Sunset View Estates,No,No response,Unknown,Unknown,"11653 E. 400 S., Laotto, IN 46763",41.297466,-85.199216,21,Unknown,IN5257018
Sunset Village & Rv Park,No,No response,Unknown,Unknown,"61366 Locust Road, South Bend, IN 46614-8700",41.603226,-86.279959,34,Unknown,IN5271016
Sunset Village/Bushmans Lake And Marina,Yes,No response,Unknown,Unknown,"315 Bushman's Lake Drive, Charlestown, IN 47111",38.459429,-85.535449,75,Unknown,IN5210013
Sunset Vue Mobile Home Community,No,No response,Unknown,Unknown,"2700 North US Highway 33, Kimmell IN 46760",41.39204,-85.547417,36,Unknown,IN5257016
Surprise Park Water Association,No,No response,Unknown,Unknown,"7311 W 143rd Pl, Cedar Lake, IN 46303",41.358133,-87.423338,40,Unknown,IN5245052
Swayzee Water Utility,No,No response,Unknown,Unknown,"P.O. Box 85, Swayzee, IN 46986-0085",40.508372,-85.825538,490,Unknown,IN5227020
Switz City Water Works,Yes,0,0%,Estimated,"287 Fletcher St, Switz City, IN 47465",39.03482,-87.054912,348,0.0184,IN5228009
Syracuse Water Company,Yes,0,0%,Estimated,"310 North Huntington Street, Syracuse, IN 46567",41.424832,-85.749584,1366,Unknown,IN5243025
Tall Oaks Mobile Home Park,No,No response,Unknown,Unknown,"10039 County Road 4 Office, Middlebury, IN 46540",41.741708,-85.660261,25,Unknown,IN5220035
Tall Timbers Mobile Home Park,No,No response,Unknown,Unknown,"15042 State Rd 32 E, Lot # Office, Noblesville, IN 46060",40.058583,-85.898924,50,Unknown,IN5229012
Tannehill Park Inc,No,No response,Unknown,Unknown,"2097 Oneida Court, Columbus, IN 47203",39.243043,-85.896494,170,Unknown,IN5203009
Tell City Water Department,Yes,175,5.07%,Estimated,"P.O. Box 217, Tell City, IN 47586-0217",37.951445,-86.767766,3450,0.0093,IN5262004
Tennyson Water Utility,No,No response,Unknown,Unknown,"P.O. Box 116, Tennyson, IN 47637",38.082272,-87.118334,1663,Unknown,IN5287007
Terrace Hills MHC,Yes,0,0%,Recorded,"7456 East County Road 100 North, Frankfort, IN 46041",40.305171,-86.364842,14,Unknown,IN5212010
The Landings Homeowners Association,No,No response,Unknown,Unknown,"11124 North Linton Lane, Monticello, IN 47960",40.71163,-86.751213,82,Unknown,IN5208004
Thorntown Utilities,No,No response,Unknown,Unknown,"109 West Main Street, Thorntown, IN 46071",40.129207,-86.606751,860,Unknown,IN5206005
Timber Creek LLC,No,No response,Unknown,Unknown,"2562 Walton Boulevard #335, Warsaw, IN 46582",41.272373,-85.853639,45,Unknown,IN5243007
Timberbrook Mobile Home Park,Yes,0,0%,Estimated,"54686 Co Rd 19, Bristol, IN 46507",41.700912,-85.870005,570,Unknown,IN5220027
Timberlane Estates Mobile Home Park,No,No response,Unknown,Unknown,"6929 East 575 North, Churubusco IN 46723",41.250832,-85.357118,20,Unknown,IN5292009
Timbernest Townhouses,Yes,0,0%,Unknown,"1221 Appletree Lane, Kokomo, IN 46902",40.464946,-86.11679,70,Unknown,IN5234014
Tipton Utility Service B,Yes,19,0.80%,Recorded,"P.O. Box 288, Tipton, IN 46072",40.28226,-86.041098,2362,0.005,IN5280004
Topeka Water Department,Yes,7,1.65%,Estimated,"211 Travis Court, Millersburg, IN 46543",41.52112,-85.701402,423,Unknown,IN5244008
Town Of Cumberland - Gem Water,Yes,0,0%,Recorded,"11501 East Washington Street, Cumberland, IN 46229",39.775754,-85.961209,695,Unknown,IN5230008
Town Of Elizabeth,Yes,20,1.36%,Estimated,"8128 Hurricane Street Southeast, Elizabeth, IN 47117-9501",38.126624,-85.974546,1476,0.0111,IN5231007
Town Of Fillmore Utilities,No,No response,Unknown,Unknown,"P.O. Box 155, Fillmore, IN 46128-0155",39.667547,-86.75334,191,Unknown,IN5267012
Trafalgar Water Department,No,No response,Unknown,Unknown,"P.O. Box 57, Trafalgar, IN 46181",39.415397,-86.150625,441,Unknown,IN5241014
Tri-County Conservancy District,Yes,No response,Unknown,Unknown,"8940 West County Line Road, Camby, IN 46113",39.632792,-86.320206,854,Unknown,IN5255022
Tri-Township Water Corporation,Yes,0,0%,Recorded,"24192 State Line Road, Lawrenceburg, IN 47025",39.221221,-84.856417,3700,0.0028,IN5215009
Troy Township Water Association,Yes,0,0%,Recorded,"P.O. Box 125, Cannelton, IN 47520",37.911445,-86.744432,280,Unknown,IN5262006
Troy Water Utility,No,No response,Unknown,Unknown,"P.O. Box 57, Troy, IN 47588",37.995334,-86.797767,489,Unknown,IN5262005
Turkey Creek Regional Sewer District,Yes,0,0%,Recorded,"4852 North 1200 West, Cromwell, IN 46732",41.422052,-85.651762,236,Unknown,IN5243032
Twelve Mile Community Apartments,No,No response,Unknown,Unknown,"P.O. Box 417, Rochester, IN 46975",41.064765,-86.215833,16,Unknown,IN5209014
Twin Lakes Utilities Inc,Yes,0,0%,Unknown,"10998 Four Seasons Place Suite 100 G, Crown Point, IN 46307",41.418804,-87.236331,3124,0.005,IN5245046
Umh In Broadmore LLC (Broadmore Esta),No,No response,Unknown,Unknown,"148 Broadmore Estates, Goshen, IN 46528",41.639446,-85.82484,15,Unknown,IN5220012
Union City Water Works,No,No response,Unknown,Unknown,"105 North Columbia Street, Union City, IN 47390",40.19828,-84.808066,1605,Unknown,IN5268010
Universal Water Works,No,No response,Unknown,Unknown,"444 North Shew Street, Universal, IN 47884",39.626004,-87.456122,197,Unknown,IN5283011
University Of Notre Dame,Yes,0,0%,Estimated,"100 Facilities Building, Notre Dame, IN 46556",41.706346,-86.236201,165,0.0052,IN5271020
Upland Water Department,No,No response,Unknown,Unknown,"P.O. Box 428, Upland, IN 46989",40.475597,-85.494417,951,Unknown,IN5227022
Us 41 North Mobile Home Park,Yes,No response,Unknown,Unknown,"P.O. Box 5304, Terre Haute, IN 47805",39.524969,-87.37302,16,Unknown,IN5284017
Valley Rural Utility Company,Yes,0,0%,Estimated,"19435 Alpine Drive, Lawrenceburg, IN 47025",39.155324,-84.831654,1895,0.005,IN5215004
Valley View Estates,No,No response,Unknown,Unknown,"4497 W 200 N, Huntington, IN 46750",40.858098,-85.536502,100,Unknown,IN5235014
Valley View Mobile Home Park,No,No response,Unknown,Unknown,"3201 Jordy Drive, Lafayette, IN 47909",40.38063,-86.907408,20,Unknown,IN5291005
Valparaiso Department Of Water Works,Yes,703,5.10%,Recorded,"205 Billings Street, Valparaiso, IN 46383",41.477179,-87.058172,13795,0.0045,IN5264029
Van Bibber Lake Conservancy District,Yes,No response,Unknown,Unknown,"4374 West County Road 450 North, Greencastle, IN 46135",39.726766,-86.928158,321,Unknown,IN5267010
Van Buren Municipal Utilities,Yes,No response,Unknown,Unknown,"201 North First Street, Van Buren, IN 46991",40.617809,-85.505354,381,Unknown,IN5227023
Van Buren Water Inc,Yes,0,0%,Estimated,"4385 West State Road 45, Bloomington, IN 47403",39.137965,-86.590675,2326,0.004,IN5253008
Veedersburg Municipal Water Supply,Yes,1,0.10%,Estimated,"100 South Main Street, Veedersburg, IN 47987-1526",40.111679,-87.262688,994,Unknown,IN5223005
Veolia Water Of Boonville,No,No response,Unknown,Unknown,"117 East Locust Street P.O. Box 57, Boonville, IN 47601",38.048856,-87.273627,3800,Unknown,IN5287001
Vermillion County Jail,Yes,0,0%,Recorded,"1648 South 3rd Street, Clinton, IN 47842",39.643165,-87.399214,1,Unknown,IN5283012
Vernon Water Department,Yes,0,0%,Unknown,"395 South County Road 75 East, North Vernon, IN 47265",38.979978,-85.597337,230,Unknown,IN5240009
Versailles Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 436, Versailles, IN 47042",39.070819,-85.252644,801,Unknown,IN5269006
Vevay Water Department,No,No response,Unknown,Unknown,"P.O. Box 52, Vevay, IN 47043",38.74784,-85.067172,700,Unknown,IN5278002
Village Green Mobile Home Park,No,No response,Unknown,Unknown,"1714 South Washington Street, Kokomo, IN 46902",40.466344,-86.133295,111,Unknown,IN5234009
Vincennes Water Department,Yes,200,2.43%,Unknown,"403 Busseron Street P.O. Box 749, Vincennes, IN 47591",38.67863,-87.529965,8241,0.01,IN5242014
Wakarusa Water Works,Yes,50,7.14%,Estimated,"P.O. Box 474, Wakarusa, IN 46573",41.53616,-86.020833,700,Unknown,IN5220029
Waldron Conservancy District,No,No response,Unknown,Unknown,"205 West Washington Street P.O. Box 242, Waldron, IN 46182-0242",39.453272,-85.668511,256,Unknown,IN5273006
Walkerton Light & Water,Yes,729,85.36%,Unknown,"301 Michigan Street, Walkerton, IN 46574",41.467121,-86.482295,854,Unknown,IN5271017
Walton Water Works,No,No response,Unknown,Unknown,"P.O. Box 191, Walton, IN 46994-0597",40.660873,-86.24194,480,Unknown,IN5209010
Wanatah Water Utility,Yes,0,0%,Recorded,"P.O. Box 185, Wanatah, IN 46390",41.430596,-86.898358,468,Unknown,IN5246033
Warren Municipal Water Works,No,No response,Unknown,Unknown,"P.O. Box 477, Warren, IN 46792",40.681554,-85.427155,639,Unknown,IN5235012
Warsaw Mobile Home Park,Yes,No response,Unknown,Recorded,"501 E Center St, Warsaw, IN 46580",41.238277,-85.851842,162,Unknown,IN5243008
Washington Township Water,No,No response,Unknown,Unknown,"P.O. Box 248, New Washington, IN 47162",38.563118,-85.539683,1616,Unknown,IN5210015
Washington Twp Water Authority,Yes,No response,Unknown,Unknown,"1100 East Chambers Pike, Bloomington, IN 47408",39.306835,-86.493528,1460,0.0032,IN5253009
Washington Water Works,Yes,55,1.02%,Estimated,"P.O. Box 800, Washington, IN 47501",38.653425,-87.169866,5370,0.0026,IN5214007
