Unnamed: 0,Water System,respondent,num_lsl,pct_lsl,data_source,full_addr,lat,long,tot_num_serv_connects_sdwis,LCR_90thpctile,SDWIS PWS ID,PWSID,sys_name,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,Service Line Material is Unknown - Number of Service Connection,lead_gooseneck_serv_connects,lead_serv_line_serv_connects,"Lead only from Water Main to Property line, Curb or Shut-Off",lead_btwn_shutoff_house,owner_btwn_watermain_shutoff,"Ownership from curb, propertly line, or shut-off to home",e_r_leadportion,e_r_slmat,e_r_lead_gooseneck,E or R - Entire Service Line is Lead from the Water Main to home,e_r_lead_maintoshutoff,e_r_shutofftohouse,e_r_num_serv_connects,e_r_tot_sl_w_lead,conf_rec_no_lead,conf_rec_mat_unk,conf_rec_lead_gooseneck,conf_rec_lead_servline,conf_rec_lead_btwn_watermain_shutoff,conf_rec_lead_btw_shutoff_house,Confidence in Records - Total Number of Service Connection,conf_rec_tot_num_serv_lines_w_lead,_merge
282,Hickory Manor Mobile Home Park,No,No response,Unknown,Unknown,"Huley Dr, North Vernon, IN 47265",39.014313,-85.644188,90,Unknown,IN5240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
283,Highland Water Works,Yes,461,5.07%,Estimated,"3333 Ridge Road, Highland, IN 46322",41.553655,-87.447973,9093,0.0017,IN5245021,IN5245021,HIGHLAND WATER WORKS,9196.0,461.0,7356.0,1103.0,0.0,93.0,184.0,184.0,Resident,Resident,E,E,E,E,E,E,E,E,,,,,,,,,both
284,Hill Water Corporation,Yes,0,0%,Estimated,"P.O. Box 339, Mooresville, IN 46158-0339",39.612824,-86.37416,2985,0.004,IN5255021,IN5255021,HILL WATER CORPORATION,2950.0,0.0,2950.0,0.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,E,E,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
285,Hillsboro Water Utility,No,No response,Unknown,Unknown,"P.O. Box 126, Hillsboro, IN 47949",40.108371,-87.158989,280,Unknown,IN5223003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
286,Hillsdale Water Corporation,No,No response,Unknown,Unknown,"P.O. Box 96, Hillsdale, IN 47854",39.785871,-87.390295,265,Unknown,IN5283007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
287,Hilltop Farms LP (and Phase Two),Yes,No response,Unknown,Unknown,"1801 Smith Street, Logansport, IN 46947",40.770847,-86.347761,48,0.063,IN5252001,IN5252001,"HILLTOP FARMS, L.P.",48.0,,48.0,,,,,,P,P,R,,,,,,,,10.0,,,,,,,,both
288,Hogan Water Corporation,Yes,No response,Unknown,Unknown,"409 2nd Street, Aurora, IN 47001",39.056558,-84.901661,478,0.0194,IN5215005,IN5215005,HOGAN WATER CORPORATION,475.0,,,475.0,,,,,M,R,,R,,,,,R,,,10.0,,,,,10.0,,both
289,Holiday Woods Subdivision,No,No response,Unknown,Unknown,"P.O. Box 483, Angola, IN 46703",41.634773,-84.999409,90,Unknown,IN5276026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
290,Holland Water Works,No,No response,Unknown,Unknown,"7288 Lauderdale Road, Dale, IN 47523",38.169748,-87.10373,545,Unknown,IN5219006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
291,Holston Rentals,No,No response,Unknown,Unknown,"P. O. Box 151, Walkerton, IN 46574",41.466711,-86.483068,33,Unknown,IN5271029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
292,Holton Community Water Corp,Yes,0,0%,Unknown,"36 North Old Michigan Road, Holton, IN 47023",39.075942,-85.348391,945,Unknown,IN5269008,IN5269008,HOLTON COMMUNITY WATER CORP.,945.0,0.0,945.0,0.0,0.0,0.0,0.0,0.0,P,R,R,,,,,,,,10.0,,,,,,,,both
293,Home Place Mobile Home Park - Well#1,No,No response,Unknown,Unknown,"2792 South Country Club, Warsaw, IN 46580",41.193838,-85.8241,40,Unknown,IN5243040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
294,Honeysuckle (Fort Wayne Utilities),Yes,0,0%,Estimated,"1102 Griswold Drive, Fort Wayne, IN 46805-4100",41.086409,-85.130027,32,0.0453,IN5202012,IN5202012,HONEYSUCKLE (FORT WAYNE UTILITIES),26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,E,E,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,both
295,Honeysuckle Mobile Home Park,No,No response,Unknown,Unknown,"305 West 700 North, Valparaiso, IN 46385",41.536202,-87.125034,18,Unknown,IN5245022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
296,Hoosier Hills Regional Water District,Yes,0,0%,Unknown,"7215 East State Road 350 P.O. Box 395, Milan, IN 47031",39.133951,-85.130736,3483,0.0089,IN5269002,IN5269002,HOOSIER HILLS REGIONAL WATER DISTRICT,3413.0,0.0,3413.0,0.0,0.0,0.0,0.0,0.0,P,R,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,both
297,Hoosier Youth Challenge Academy,Yes,0,0%,Recorded,"10892 North State Road 140, Knightstown, IN 46148",39.766924,-85.516945,25,Unknown,IN5270007,IN5270007,HOOSIER YOUTH CHALLENGE ACADEMY,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,P,P,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
298,Hope Water Department,Yes,0,0%,Unknown,"529 Mill Street P.O. Box 33, Hope, IN 47246",39.302044,-85.767772,830,Unknown,IN5203006,IN5203006,HOPE WATER DEPARTMENT,850.0,0.0,850.0,,0.0,0.0,0.0,0.0,M,R,E,,,,,,E,,10.0,,,,,,10.0,,both
299,Hudson Water Works,No,No response,Unknown,Unknown,"P.O. Box 97, Hudson, IN 46747",41.532828,-85.081079,253,Unknown,IN5276022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
300,Huntertown Water Works,Yes,0,0%,Unknown,"15617 Lima Road P.O. Box 95, Huntertown, IN 46748-0188",41.228502,-85.172422,3350,0.006,IN5202007,IN5202007,HUNTERTOWN WATER WORKS,3294.0,0.0,3294.0,0.0,0.0,0.0,0.0,0.0,M,R,R,0,0,0,0,0,,,9.0,0.0,0.0,0.0,0.0,0.0,,,both
301,Huntingburg Municipal Water,Yes,45,1.83%,Estimated,"1101 West 6th Street, Huntingburg, IN 47542",38.294581,-86.985291,2459,0.0107,IN5219007,IN5219007,HUNTINGBURG MUNICIPAL WATER,2700.0,45.0,2655.0,0.0,0.0,0.0,45.0,0.0,M,R,R,R,R,R,E,R,R,E,8.0,9.0,8.0,8.0,5.0,9.0,9.0,5.0,both
302,Huntington Water Department,Yes,No response,Unknown,Unknown,"2290 Engle Street, Huntington, IN 46750",40.855939,-85.498475,7516,0.0089,IN5235005,IN5235005,HUNTINGTON WATER DEPARTMENT,6844.0,,2976.0,3868.0,,,,,M,R,E,E,,,,,R,,9.0,8.0,,,,,10.0,,both
303,Hymera Water Works,Yes,0,0%,Estimated,"P.O. Box 421, Hymera, IN 47855",39.186324,-87.303477,418,Unknown,IN5277004,IN5277004,HYMERA WATER WORKS,433.0,0.0,433.0,0.0,,0.0,0.0,0.0,P,R,R,E,,E,E,E,E,E,10.0,8.0,,9.0,9.0,9.0,9.0,9.0,both
304,In Water Services Inc,Yes,0,0%,Unknown,"10996 Four Seasons Place Suite 100 G, Crown Point, IN 46307",41.418631,-87.236494,1659,0.005,IN5245057,IN5245057,"IN WATER SERVICES, INC.",1661.0,0.0,1661.0,0.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,,,7.0,7.0,7.0,10.0,10.0,9.0,,,both
305,Indian Springs Town Homes,No,No response,Unknown,Unknown,"13840 Jennings Lane, Crown Point, IN 46307",41.366807,-87.378197,32,Unknown,IN5246038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
306,Indiana Academy,No,No response,Unknown,Unknown,"24815 State Road 19, Cicero, IN 46034",40.148586,-86.013021,18,Unknown,IN5229025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
307,Indiana American Water - Crawfordsville,Yes,155,2.62%,Estimated,"809 Banjo Dr, Crawfordsville, IN 47933",40.0516,-86.845284,5919,0.001,IN5254005,IN5254005,INDIANA AMERICAN WATER - CRAWFORDSVILLE,6055.0,155.0,5900.0,0.0,75.0,0.0,50.0,30.0,P,R,E,E,E,E,E,E,E,E,80.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,both
308,Indiana American Water - Farmersburg,Yes,50,7.13%,Estimated,"100 W Main St, Farmersburg, IN 47850",39.253897,-87.379765,701,Unknown,IN5277003,IN5277003,INDIANA AMERICAN WATER - FARMERSBURG,650.0,50.0,580.0,20.0,30.0,0.0,20.0,0.0,P,R,E,E,E,E,E,E,E,E,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,both
309,Indiana American Water - Johnson County,Yes,778,2.57%,Recorded,"153 N Emerson Ave, Greenwood, IN 46143",39.619891,-86.081502,30226,0.002,IN5241005,IN5241005,INDIANA AMERICAN WATER - JOHNSON COUNTY,30000.0,778.0,29222.0,,733.0,,5.0,,P,R,E,,R,,R,,E,R,8.0,,8.0,0.0,8.0,0.0,8.0,8.0,both
310,Indiana American Water - Kokomo,Yes,986,4.70%,Recorded,"1700 E Superior St, Kokomo, IN 46901",40.486291,-86.110741,20974,0.002,IN5234007,IN5234007,INDIANA AMERICAN WATER - KOKOMO,24600.0,986.0,22587.0,1027.0,35.0,0.0,951.0,0.0,P,R,R,R,R,E,R,E,R,R,8.0,8.0,8.0,4.0,8.0,4.0,8.0,8.0,both
311,Indiana American Water - Mecca,Yes,0,0%,Estimated,"4976 Wabash St, Mecca, IN 47860",39.726994,-87.331921,313,Unknown,IN5261004,IN5261004,INDIANA AMERICAN WATER - MECCA,340.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,E,E,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,both
312,Indiana American Water - Merom,Yes,0,0%,Estimated,"10839 W Co Rd 350 N, Merom, IN 47861",39.135696,-87.60502,136,Unknown,IN5277005,IN5277005,INDIANA AMERICAN WATER - MEROM,130.0,0.0,120.0,10.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,E,E,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,both
313,Indiana American Water - Mooresville,Yes,100,2.62%,Estimated,"425 W Main St, Mooresville, IN 46158",39.612737,-86.384027,3811,0.001,IN5255006,IN5255006,INDIANA AMERICAN WATER - MOORESVILLE,3800.0,100.0,3650.0,50.0,100.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,E,E,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,both
314,Indiana American Water - Muncie,Yes,1996,7.43%,Recorded,"1420 S Burlington Dr, Muncie, IN 47302",40.18224,-85.350136,26882,0.005,IN5218012,IN5218012,INDIANA AMERICAN WATER - MUNCIE,30000.0,1996.0,26924.0,1080.0,1000.0,100.0,796.0,100.0,P,R,R,R,E,E,R,E,R,R,8.0,5.0,3.0,5.0,5.0,3.0,8.0,5.0,both
315,Indiana American Water - Newburgh,Yes,20,0.24%,Estimated,"98 W 1st St, Newburgh, IN 47630",37.948227,-87.405916,8433,0.002,IN5287004,IN5287004,INDIANA AMERICAN WATER - NEWBURGH,8640.0,20.0,8620.0,0.0,0.0,0.0,0.0,20.0,P,R,R,E,E,E,E,E,E,E,10.0,10.0,10.0,10.0,10.0,2.0,10.0,2.0,both
316,Indiana American Water - Noblesville,Yes,249,1.59%,Estimated,"15227 Herriman Blvd, Noblesville, IN 46060",40.008358,-86.006377,15667,0.007,IN5229015,IN5229015,INDIANA AMERICAN WATER - NOBLESVILLE,15696.0,249.0,15447.0,0.0,249.0,0.0,0.0,0.0,P,R,R,,E,,,,R,E,7.0,,7.0,,,,10.0,7.0,both
317,Indiana American Water - Northwest,Yes,35632,53.41%,Recorded,"650 Madison St, Gary, IN 46402",41.599334,-87.342584,66713,0.011,IN5245015,IN5245015,INDIANA AMERICAN WATER - NORTHWEST,80026.0,35632.0,44108.0,286.0,0.0,26011.0,6700.0,2921.0,P,R,R,R,R,R,R,R,R,R,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,both
318,Indiana American Water - Richmond,Yes,4617,30.53%,Recorded,"1710 Sylvan Nook Dr, Richmond, IN 47374",39.854269,-84.879186,15121,0.014,IN5289012,IN5289012,INDIANA AMERICAN WATER - RICHMOND,17000.0,4617.0,12383.0,0.0,360.0,3757.0,250.0,250.0,P,R,R,R,E,R,E,E,R,R,5.0,8.0,3.0,5.0,5.0,3.0,8.0,5.0,both
319,Indiana American Water - Russiaville,Yes,0,0%,Recorded,"120 E Main St, Russiaville, IN 46979",40.417864,-86.271109,449,Unknown,IN5234008,IN5234008,INDIANA AMERICAN WATER - RUSSIAVILLE,460.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,R,R,8.0,8.0,8.0,8.0,8.0,3.0,10.0,8.0,both
320,Indiana American Water - S Indiana,Yes,233,0.74%,Estimated,"555 East County Line Road Suite 201, Greenwood, IN 46143",39.634274,-86.094017,31405,0.001,IN5210005,IN5210005,INDIANA AMERICAN WATER - S. INDIANA,34183.0,233.0,33721.0,279.0,50.0,,183.0,,P,R,R,R,E,,R,,R,E,9.0,9.0,5.0,0.0,9.0,0.0,9.0,7.0,both
321,Indiana American Water - Seymour,Yes,20,0.27%,Estimated,"330 W Tipton St, Seymour, IN 47274",38.95712,-85.890949,7484,0.004,IN5236005,IN5236005,INDIANA AMERICAN WATER - SEYMOUR,7450.0,20.0,4350.0,3100.0,10.0,0.0,0.0,10.0,P,R,R,E,E,E,E,E,E,E,10.0,8.0,7.0,9.0,9.0,5.0,8.0,8.0,both
322,Indiana American Water - Shelbyville,Yes,593,8.91%,Unknown,"E Broadway St, Shelbyville, IN 46176",39.522928,-85.769484,6652,0.007,IN5273002,IN5273002,INDIANA AMERICAN WATER - SHELBYVILLE,6707.0,593.0,6107.0,7.0,561.0,0.0,32.0,0.0,P,R,R,R,R,E,R,E,,,9.0,9.0,9.0,9.0,9.0,9.0,,,both
323,Indiana American Water - Somerset,Yes,0,0%,Unknown,"23 2nd St, Somerset, IN 46984",40.668723,-85.829446,93,Unknown,IN5285002,IN5285002,INDIANA AMERICAN WATER - SOMERSET,97.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,P,R,R,,,,,,R,,10.0,,,,,,10.0,,both
324,Indiana American Water - Sullivan,Yes,250,10.38%,Estimated,"198 W Washington St, Sullivan, IN 47882",39.095461,-87.409606,2409,0.005,IN5277009,IN5277009,INDIANA AMERICAN WATER - SULLIVAN,5350.0,250.0,3600.0,1500.0,50.0,0.0,200.0,0.0,P,R,E,E,E,E,E,E,E,E,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,both
325,Indiana American Water - Summitville,Yes,31,8.20%,Estimated,"536 N Main St, Summitville, IN 46070",40.340801,-85.644747,378,Unknown,IN5248010,IN5248010,INDIANA AMERICAN WATER - SUMMITVILLE,420.0,31.0,389.0,0.0,31.0,0.0,0.0,0.0,P,R,E,,E,,,,,E,10.0,,8.0,,,,,,both
326,Indiana American Water - Terre Haute,Yes,6500,26.76%,Recorded,"51 Locust St, Terre Haute, IN 47807",39.476828,-87.417317,24289,0.003,IN5284012,IN5284012,INDIANA AMERICAN WATER - TERRE HAUTE,30500.0,6500.0,18000.0,6000.0,1317.0,0.0,5183.0,0.0,P,R,E,E,E,E,E,E,E,R,10.0,6.0,8.0,1.0,8.0,1.0,9.0,9.0,both
327,Indiana American Water - Wabash,Yes,595,13.50%,Estimated,"192 Stitt St, Wabash, IN 46992",40.803973,-85.826506,4406,0.005,IN5285003,IN5285003,INDIANA AMERICAN WATER - WABASH,4460.0,595.0,3865.0,0.0,453.0,0.0,142.0,0.0,P,R,E,,E,,E,,E,E,8.0,,8.0,,8.0,,8.0,8.0,both
328,Indiana American Water - Warsaw,Yes,262,5.40%,Estimated,"2420 Hidden Lake Dr, Warsaw, IN 46580",41.267062,-85.86017,4850,0.002,IN5243030,IN5243030,INDIANA AMERICAN WATER - WARSAW,5100.0,262.0,4838.0,0.0,262.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,E,E,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,both
329,Indiana American Water - Waveland,Yes,13,5.91%,Estimated,"106 Cross St, Waveland, IN 47989",39.877119,-87.04498,220,Unknown,IN5254012,IN5254012,INDIANA AMERICAN WATER - WAVELAND,213.0,13.0,200.0,0.0,10.0,0.0,0.0,3.0,P,R,E,E,E,E,E,E,E,E,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,both
330,Indiana American Water - West Lafayette,Yes,0,0%,Estimated,"1007 Happy Hollow Rd, West Lafayette, IN 47906",40.434741,-86.898871,12176,0.001,IN5279020,IN5279020,INDIANA AMERICAN WATER - WEST LAFAYETTE,12013.0,0.0,12013.0,0.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,E,E,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
331,Indiana American Water - Westwood,Yes,0,0%,Estimated,"1746 S Link St, New Castle, IN 47362",39.918911,-85.41874,63,Unknown,IN5279019,IN5279019,INDIANA AMERICAN WATER - WESTWOOD,63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,P,R,R,E,E,E,E,E,E,E,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
332,Indiana American Water - Winchester,Yes,1039,51.64%,Recorded,"870 IN-32, Winchester, IN 47394",40.171721,-84.96749,2012,0.005,IN5268003,IN5268003,INDIANA AMERICAN WATER - WINCHESTER,2300.0,1039.0,1261.0,0.0,20.0,939.0,40.0,40.0,P,R,R,R,E,E,E,E,R,R,5.0,5.0,3.0,5.0,5.0,3.0,8.0,5.0,both
333,Indiana American Water - Yankeetown,Yes,0,0%,Estimated,"7936 Yankeetown Rd, Newburgh, IN 47630",37.918637,-87.298211,650,Unknown,IN5287008,IN5287008,INDIANA AMERICAN WATER - YANKEETOWN,664.0,0.0,664.0,0.0,0.0,0.0,0.0,0.0,P,R,R,E,E,E,E,E,E,E,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
334,Indiana Masonic Home,Yes,0,0%,Estimated and Recorded,"690 State Street, Franklin, IN 46131",39.472929,-86.044727,62,0.0361,IN5241010,IN5241010,INDIANA MASONIC HOME,62.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,P,P,E and R,E and R,E and R,E and R,E and R,E and R,E and R,E and R,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,both
335,Ingalls Water Company,Yes,0,0%,Recorded,"P.O.  Box 277, Ingalls, IN 46048-0277",39.961898,-85.802537,1068,0.002,IN5248012,IN5248012,INGALLS WATER COMPANY,1606.0,0.0,1606.0,0.0,0.0,0.0,0.0,0.0,P,P,R,R,R,R,R,R,R,R,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,both
336,Inwood Estates,No,No response,Unknown,Unknown,"6501 Hickory Road, Plymouth, IN 46563",41.383768,-86.196494,22,Unknown,IN5250006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
337,Ireland Utilities Inc,Yes,No response,Unknown,Unknown,"P.O. Box 83, Ireland, IN 47545-0098",38.414692,-86.9994,1610,0.005,IN5219008,IN5219008,"IRELAND UTILITIES, INC.",,,1567.0,,,,,,,,R,,,,,,,,10.0,,,,,,,,both
338,J & T Water Company,No,No response,Unknown,Unknown,"4501 North Fruitridge Avenue, Terre Haute, IN 47805",39.520324,-87.360319,15,Unknown,IN5284005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
339,J B Water Works Inc,No,No response,Unknown,Unknown,"P.O. Box 67, Laporte, IN 46352-0067",41.61,-86.72,119,Unknown,IN5246012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
340,Jackson County Water - Reddington,Yes,No response,Unknown,Unknown,"11255 County Rd 1040 N, Seymour, IN 47274",39.031872,-85.831488,381,Unknown,IN5236008,IN5236008,JACKSON COUNTY WATER - REDDINGTON,375.0,,375.0,0.0,0.0,0.0,0.0,0.0,P,R,R,,R,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,both
341,Jackson County Water Utility,Yes,75,1.52%,Unknown,"1119 W Spring Street, Brownstown, IN 47220",38.886295,-86.057063,4919,0.005,IN5236003,IN5236003,JACKSON COUNTY WATER UTILITY,5225.0,75.0,5150.0,0.0,75.0,0.0,0.0,0.0,P,R,E,,E,,,,,,9.0,10.0,8.0,10.0,10.0,10.0,,,both
342,Jamestown Municipal Water,No,No response,Unknown,Unknown,"P.O. Box 165, Jamestown, IN 46147",39.926711,-86.628893,487,Unknown,IN5206008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
343,Jasonville Water Department,Yes,0,0%,Estimated,"304 West Main Street, Jasonville, IN 47438",39.162862,-87.201749,2200,0.023,IN5228004,IN5228004,JASONVILLE WATER DEPARTMENT,1650.0,0.0,1300.0,350.0,0.0,0.0,0.0,0.0,M,R,R,E,E,E,E,E,R,E,9.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,both
344,Jasper Municipal Water Utility,Yes,2000,33.16%,Estimated,"P.O. Box 750, Jasper, IN 47547-0750",38.39,-86.93,6031,0.01,IN5219009,IN5219009,JASPER MUNICIPAL WATER UTILITY,6530.0,2000.0,4530.0,0.0,1900.0,0.0,100.0,0.0,R,R,E,E,E,,E,E,E,E,8.0,6.0,7.0,9.0,3.0,9.0,9.0,2.0,both
345,Jennings Northwest Regional Utility,Yes,0,0%,Recorded,"P.O. Box 18, North Vernon, IN 47265",39.007358,-85.625987,1220,0.0018,IN5240002,IN5240002,JENNINGS NORTHWEST REGIONAL UTILITY,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,M,R,E,R,R,R,R,R,E,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
346,Jennings Water Inc,Yes,No response,Unknown,Unknown,"1595 East Buckeye Street, North Vernon, IN 47265",39.004777,-85.609716,3080,0.0052,IN5240006,IN5240006,"JENNINGS WATER, INC.",3200.0,,3200.0,,,,,,P,R,R,,,,,,R,,10.0,,,,,,10.0,,both
347,Jonesboro Water Department,Yes,No response,Unknown,Unknown,"414 South Main Street, Jonesboro, IN 46938",40.481863,-85.628225,900,Unknown,IN5227010,IN5227010,JONESBORO WATER DEPARTMENT,850.0,,,850.0,,,,,M,R,,,,,,,,,,,,,,,,,both
348,Kendallville Water Department,Yes,540,15.22%,Estimated,"234 South Main Street, Kendallville, IN 46755",41.441466,-85.265577,3549,0.05,IN5257008,IN5257008,KENDALLVILLE WATER DEPARTMENT,3540.0,540.0,2000.0,1000.0,,20.0,500.0,20.0,R,R,E,E,,E,E,E,E,E,2.0,2.0,,2.0,2.0,2.0,9.0,4.0,both
349,Kent Water Company (& Hanover College),No,No response,Unknown,Unknown,"P.O. Box 336, Hanover, IN 47243",38.714226,-85.473571,2700,Unknown,IN5239004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
350,Kentland Water Works,Yes,0,0%,Estimated,"300 North 3rd Street, Kentland, IN 47951-1112",40.770441,-87.445495,899,Unknown,IN5256005,IN5256005,KENTLAND WATER WORKS,896.0,0.0,896.0,0.0,0.0,0.0,0.0,0.0,M,R,E,E,E,E,E,E,E,E,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,both
351,Kewanna Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 5 308 South Logan Street, Kewanna, IN 46939",41.016155,-86.414638,311,Unknown,IN5225003,IN5225003,KEWANNA WATER WORKS,311.0,,311.0,,,,,,M,R,R,,,,,,R,,10.0,,,,,,10.0,,both
352,Kingman Water Works,Yes,0,0%,Unknown,"P.O. Box 25, Kingman, IN 47952",39.96754,-87.277512,273,0.02,IN5223004,IN5223004,KINGMAN WATER WORKS,270.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,M,R,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,,,both
353,Kings Ridge Homeowners Association,No,No response,Unknown,Unknown,"3730 Litchfield Place, Lafayette, IN 47906",40.473632,-86.899842,34,Unknown,IN5279023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
354,Kingsbury Utility Corporation,No,No response,Unknown,Unknown,"P.O. Box 254, Kingsbury, IN 46345",41.526211,-86.699816,103,Unknown,IN5246013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
355,Kingsford Heights Water,No,No response,Unknown,Unknown,"P. O. Box 330, Kingsford Heights, IN 46346",41.476408,-86.693839,535,Unknown,IN5246014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
356,Kirklin Water Department,Yes,0,0%,Unknown,"Town of Kirklin P.O. Box 147, Kirklin, IN 46050",40.192979,-86.359832,325,Unknown,IN5212004,IN5212004,KIRKLIN WATER DEPARTMENT,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,M,P,E,E,,,,,,,5.0,5.0,10.0,10.0,10.0,10.0,,10.0,both
357,Knightstown Water Utility,No,No response,Unknown,Unknown,"26 South Washington Street, Knightstown, IN 46148",39.794914,-85.524885,1052,Unknown,IN5233005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
358,Knightsville Water Works,No,No response,Unknown,Unknown,"1096 East County Road 425 North, Center Point, IN 47840",39.449092,-87.087859,565,Unknown,IN5211006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
359,Knox County Water Inc,Yes,No response,Unknown,Unknown,"654 North Anson Road, Vincennes, IN 47512",38.680979,-87.423293,1263,0.0136,IN5242018,IN5242018,"KNOX COUNTY WATER, INC.",1266.0,,,800.0,,0.0,0.0,,P,R,E,E,,E,E,,R,,1.0,1.0,,5.0,,,10.0,,both
360,Knox Water Works,Yes,600,39.66%,Estimated,"101 West Washington Street, Knox, IN 46534",41.302172,-86.619789,1513,0.0027,IN5275002,IN5275002,KNOX WATER WORKS,1450.0,600.0,850.0,,600.0,0.0,0.0,0.0,M,R,E,,E,E,E,E,,E,5.0,,5.0,7.0,5.0,7.0,,5.0,both
361,Kokomo Estates Mobile Home Park,No,No response,Unknown,Unknown,"4508 East 200 South, Kokomo, IN 46902",40.450835,-86.042313,182,Unknown,IN5234003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
362,Kouts Water Works,Yes,0,0%,Estimated,"P.O. Box 693, Kouts, IN 46347",41.313045,-87.028229,783,0.022,IN5264013,IN5264013,KOUTS WATER WORKS,816.0,0.0,796.0,30.0,0.0,0.0,0.0,0.0,R,R,R,E,E,E,E,0,R,E,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,both
363,Kozy Kourt Dba Silo Farms,Yes,0,0%,Unknown,"11112 North State Road 1, Ossian, IN 46777",40.904467,-85.166946,192,Unknown,IN5290004,IN5290004,KOZY KOURT DBA SILO FARMS,190.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,P,R,E,,,,,,,,10.0,,,,,,,,both
364,L & M Regional Water District,Yes,0,0%,Unknown,"P.O. Box 127, Losantville, IN 47354",40.024213,-85.182743,187,Unknown,IN5268013,IN5268013,L & M REGIONAL WATER DISTRICT,201.0,0.0,201.0,,,,,,P,R,R,,,,,,,,10.0,,,,,,,,both
